-7.419573    1.428504
-6.347314    1.413505
-5.275055    1.397420
-4.202796    1.380291
-3.130537    1.361804
-2.058278    1.341821
-0.986019    1.320389
0.086240    1.297143
1.158499    1.271859
2.230758    1.244264
3.303017    1.213905
4.375276    1.180328
5.447535    1.145476
6.519794    1.104194
7.592053    1.054814
8.595134    1.002867
9.598215    0.944995
10.549413    0.884817
11.344960    0.829000
12.105918    0.768037
12.738403    0.714516
13.558656    0.634702
14.198552    0.571849
14.803860    0.513123
15.443757    0.454665
15.858825    0.419400
