-7.509505    1.273647
-6.451081    1.258402
-5.378822    1.242406
-4.306563    1.225278
-3.234304    1.206927
-2.162045    1.187171
-1.089786    1.165919
-0.017527    1.143707
1.054732    1.119588
2.126991    1.093447
3.199250    1.061520
4.271509    1.027445
5.343768    0.988361
6.416027    0.946198
7.488286    0.906311
8.547863    0.859018
9.523913    0.804938
10.462940    0.753554
11.362254    0.695574
12.238509    0.634981
13.005232    0.576979
13.740771    0.521673
14.529310    0.459228
15.512935    0.397447
