-7.557929    1.597525
-6.831560    1.587826
-6.105191    1.577458
-5.378822    1.566622
-4.652453    1.555251
-3.926084    1.543278
-3.199715    1.530201
-2.473346    1.518417
-1.746977    1.503478
-1.020608    1.488763
-0.294239    1.473445
0.432130    1.456923
1.158499    1.439465
1.884868    1.420870
2.611237    1.401204
3.337606    1.380067
4.063975    1.357726
4.790344    1.333244
5.516713    1.306957
6.243082    1.278752
6.969451    1.249390
7.695820    1.217901
8.422189    1.178871
9.148558    1.135314
9.874927    1.087765
10.601296    1.034910
11.327665    0.978519
12.019445    0.916906
12.642047    0.857420
13.281944    0.787961
13.812362    0.722285
14.360688    0.650914
14.855744    0.586341
15.322695    0.527058
15.755058    0.476388
